epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0395,1.61154,4.60767,1.62026,0.158,0.36214,0.21544,0.12657,1.58703,5.31772,1.75148,9.282e-05,9.282e-05,9.282e-05
2,26.5984,1.45645,2.4727,1.43719,0.41858,0.60457,0.47507,0.25691,1.59867,6.49492,1.67606,0.000189599,0.000189599,0.000189599
3,40.8014,1.40199,1.85381,1.38012,0.55951,0.67664,0.60502,0.3358,1.50511,3.16737,1.63412,0.00028308,0.00028308,0.00028308
4,54.8119,1.31419,1.44341,1.30774,0.63039,0.69711,0.64461,0.34253,1.52238,2.10705,1.58805,0.000373261,0.000373261,0.000373261
5,67.436,1.32992,1.27375,1.32548,0.49174,0.48764,0.52167,0.26483,1.53854,2.21332,1.75931,0.000460144,0.000460144,0.000460144
6,80.7773,1.29509,1.24935,1.29536,0.694,0.31211,0.41704,0.2071,1.6711,2.50268,1.93201,0.000543729,0.000543729,0.000543729
7,95.2214,1.30289,1.17036,1.29581,0.63337,0.64626,0.68647,0.35042,1.52986,1.53751,1.63289,0.000624015,0.000624015,0.000624015
8,111.001,1.28205,1.09699,1.27782,0.76802,0.6588,0.72627,0.39381,1.5391,1.45666,1.62254,0.000631533,0.000631533,0.000631533
9,124.589,1.22197,0.99319,1.26126,0.74857,0.68763,0.76371,0.41773,1.53143,1.27846,1.61501,0.000619752,0.000619752,0.000619752
10,140.548,1.20393,0.92031,1.23954,0.74968,0.60752,0.71162,0.3856,1.51096,1.35203,1.63685,0.000607971,0.000607971,0.000607971
11,152.898,1.19262,0.96469,1.23397,0.80432,0.66525,0.78105,0.42385,1.48539,1.22813,1.61128,0.00059619,0.00059619,0.00059619
12,166.35,1.1955,0.90337,1.24665,0.74221,0.7248,0.79633,0.44055,1.45893,1.15785,1.62014,0.000584409,0.000584409,0.000584409
13,178.955,1.14656,0.85051,1.21859,0.70396,0.75508,0.79202,0.42448,1.46105,1.11304,1.5744,0.000572628,0.000572628,0.000572628
14,194.319,1.178,0.84559,1.22818,0.84527,0.72495,0.82515,0.47667,1.37754,1.02287,1.52346,0.000560847,0.000560847,0.000560847
15,206.812,1.16816,0.85863,1.20405,0.80698,0.76884,0.84175,0.45522,1.59877,0.98119,1.75537,0.000549066,0.000549066,0.000549066
16,222.247,1.15819,0.82745,1.22587,0.69749,0.73501,0.75999,0.41925,1.55823,1.08696,1.66308,0.000537285,0.000537285,0.000537285
17,235.999,1.13785,0.84704,1.22488,0.67341,0.7827,0.80202,0.45563,1.43976,1.04814,1.54398,0.000525504,0.000525504,0.000525504
